Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
90,1995-01-26,LAK,@,STL,L,,Wayne Gretzky,34,Alexei Zhitnik,Rob Blake,Curtis Joseph,2,3:28,EV,,Kiel Center
91,1995-01-20,LAK,,TOR,T,OT,Wayne Gretzky,33,Rick Tocchet,Jari Kurri,Felix Potvin,1,13:12,PP,,Great Western Forum
92,1994-04-02,LAK,,EDM,L,,Wayne Gretzky,33,Kevin Todd,Rob Blake,Bill Ranford,3,17:32,PP,,Great Western Forum
93,1994-03-23,LAK,,VAN,L,,Wayne Gretzky,33,Marty McSorley,Luc Robitaille,Kirk McLean,2,14:47,PP,,Great Western Forum
94,1994-03-20,LAK,@,SJS,T,OT,Wayne Gretzky,33,Alexei Zhitnik,Jari Kurri,Arturs Irbe,3,19:11,EV,,San Jose Arena
95,1994-03-20,LAK,@,SJS,T,OT,Wayne Gretzky,33,,,Arturs Irbe,1,6:16,EV,,San Jose Arena
96,1994-03-15,LAK,,OTT,W,,Wayne Gretzky,33,Robert Lang,John Druce,Craig Billington,3,3:15,EV,,Great Western Forum
97,1994-03-02,LAK,@,HAR,W,,Wayne Gretzky,33,Dixon Ward,,Sean Burke,1,11:54,EV,,Hartford Civic Center
98,1994-02-26,LAK,@,CGY,L,,Wayne Gretzky,33,Doug Houda,,Mike Vernon,1,11:49,EV,,Olympic Saddledome
99,1994-02-25,LAK,@,EDM,T,OT,Wayne Gretzky,33,Jari Kurri,,Bill Ranford,2,14:14,SH,,Northlands Coliseum
100,1994-02-21,LAK,,TOR,L,,Wayne Gretzky,33,Jari Kurri,,Felix Potvin,2,11:05,EV,,Great Western Forum
101,1994-02-21,LAK,,TOR,L,,Wayne Gretzky,33,Luc Robitaille,Rob Blake,Felix Potvin,2,12:42,PP,,Great Western Forum
102,1994-02-11,LAK,@,MDA,W,,Wayne Gretzky,33,Tim Watters,Rob Blake,,3,18:48,EV,EN,Arrowhead Pond of Anaheim
103,1994-02-11,LAK,@,MDA,W,,Wayne Gretzky,33,Mike Donnelly,Jari Kurri,Guy Hebert,1,10:23,EV,,Arrowhead Pond of Anaheim
104,1994-02-05,LAK,,CGY,L,OT,Wayne Gretzky,33,,,Trevor Kidd,3,18:00,PP,,Great Western Forum
105,1994-02-02,LAK,@,EDM,L,,Wayne Gretzky,33,Jari Kurri,Alexei Zhitnik,Bill Ranford,2,12:08,EV,,Northlands Coliseum
106,1994-01-27,LAK,,NYR,L,OT,Wayne Gretzky,33,Rob Blake,Jari Kurri,Mike Richter,2,7:12,PP,,Great Western Forum
107,1994-01-24,LAK,@,CGY,T,OT,Wayne Gretzky,32,,,Andrei Trefilov,2,12:22,PP,,America West Arena
108,1994-01-16,LAK,@,PHI,L,,Wayne Gretzky,32,Tony Granato,Mike Donnelly,Dominic Roussel,2,19:17,EV,,The Spectrum
109,1994-01-15,LAK,@,NJD,W,,Wayne Gretzky,32,Jari Kurri,,,3,19:56,EV,EN,Brendan Byrne Arena
110,1994-01-15,LAK,@,NJD,W,,Wayne Gretzky,32,,,Chris Terreri,1,7:56,SH,,Brendan Byrne Arena
111,1994-01-12,LAK,,HAR,W,,Wayne Gretzky,32,Jari Kurri,Rob Blake,Sean Burke,1,10:34,PP,,Great Western Forum
112,1994-01-12,LAK,,HAR,W,,Wayne Gretzky,32,Jari Kurri,Tim Watters,,3,19:23,SH,EN,Great Western Forum
113,1994-01-01,LAK,@,TOR,W,,Wayne Gretzky,32,Charlie Huddy,Jari Kurri,Damian Rhodes,2,12:55,PP,,Maple Leaf Gardens
114,1993-12-28,LAK,,VAN,W,,Wayne Gretzky,32,Rob Blake,Luc Robitaille,Kirk McLean,3,5:22,PP,,Great Western Forum
115,1993-12-20,LAK,@,CGY,W,OT,Wayne Gretzky,32,Mike Donnelly,Jari Kurri,Mike Vernon,1,18:08,EV,,Olympic Saddledome
116,1993-12-20,LAK,@,CGY,W,OT,Wayne Gretzky,32,Alexei Zhitnik,Mike Donnelly,Mike Vernon,2,17:31,EV,,Olympic Saddledome
117,1993-12-13,LAK,@,OTT,L,,Wayne Gretzky,32,Charlie Huddy,,Craig Billington,3,14:51,SH,,Civic Centre Arena
118,1993-11-30,LAK,,WIN,L,,Wayne Gretzky,32,Jari Kurri,,Bob Essensa,1,13:00,PP,,Great Western Forum
119,1993-11-30,LAK,,WIN,L,,Wayne Gretzky,32,Charlie Huddy,,Bob Essensa,3,16:40,EV,,Great Western Forum
120,1993-11-25,LAK,@,QUE,L,,Wayne Gretzky,32,Jari Kurri,Warren Rychel,Jocelyn Thibault,2,8:58,PP,,Quebec Coliseum
121,1993-11-03,LAK,,NJD,W,,Wayne Gretzky,32,,,Chris Terreri,3,2:34,EV,,Great Western Forum
122,1993-10-29,LAK,@,WIN,W,OT,Wayne Gretzky,32,Mike Donnelly,,Bob Essensa,3,8:06,PP,,Winnipeg Arena
123,1993-10-24,LAK,@,NYR,L,,Wayne Gretzky,32,Mike Donnelly,Bob Jay,Mike Richter,2,2:04,EV,,Madison Square Garden (IV)
124,1993-10-22,LAK,@,WSH,L,,Wayne Gretzky,32,Darryl Sydor,Jari Kurri,Don Beaupre,3,0:37,PP,,US Airways Arena
125,1993-10-20,LAK,@,TBL,W,,Wayne Gretzky,32,Rob Blake,Luc Robitaille,Daren Puppa,2,8:34,PP,,Thunderdome
126,1993-10-16,LAK,,CGY,W,,Wayne Gretzky,32,Darryl Sydor,Luc Robitaille,Jason Muzzatti,3,19:30,EV,,Great Western Forum
127,1993-10-12,LAK,,NYI,W,,Wayne Gretzky,32,Luc Robitaille,Darryl Sydor,Ron Hextall,3,18:16,EV,,Great Western Forum
128,1993-10-09,LAK,,DET,W,,Wayne Gretzky,32,Luc Robitaille,Tomas Sandstrom,Peter Ing,3,3:38,EV,,Great Western Forum
129,1993-10-09,LAK,,DET,W,,Wayne Gretzky,32,Warren Rychel,Tomas Sandstrom,Peter Ing,3,6:00,EV,,Great Western Forum
130,1993-04-15,LAK,,VAN,L,,Wayne Gretzky,32,Tomas Sandstrom,Luc Robitaille,Kay Whitmore,2,6:57,EV,,Great Western Forum
131,1993-04-10,LAK,@,SJS,W,OT,Wayne Gretzky,32,Charlie Huddy,Luc Robitaille,Arturs Irbe,1,11:24,EV,,Cow Palace
132,1993-03-29,LAK,@,DET,W,,Wayne Gretzky,32,Alexei Zhitnik,,Vincent Riendeau,3,3:52,EV,,Joe Louis Arena
133,1993-03-29,LAK,@,DET,W,,Wayne Gretzky,32,Darryl Sydor,Luc Robitaille,Vincent Riendeau,3,8:02,EV,,Joe Louis Arena
134,1993-03-26,LAK,@,EDM,W,,Wayne Gretzky,32,Tomas Sandstrom,Alexei Zhitnik,Bill Ranford,1,16:16,EV,,Northlands Coliseum
135,1993-03-18,LAK,,NYI,W,,Wayne Gretzky,32,Luc Robitaille,Charlie Huddy,Glenn Healy,3,17:20,EV,,Great Western Forum
136,1993-03-16,LAK,,WIN,W,,Wayne Gretzky,32,Mike Donnelly,,Rick Tabaracci,2,1:07,EV,,Great Western Forum
137,1993-03-15,LAK,@,BUF,W,,Wayne Gretzky,32,Tony Granato,Charlie Huddy,,3,19:24,SH,EN,Buffalo Memorial Auditorium
138,1993-03-11,LAK,@,PIT,L,OT,Wayne Gretzky,32,Tony Granato,Charlie Huddy,Tom Barrasso,2,6:05,EV,,Pittsburgh Civic Arena
139,1993-03-06,LAK,,EDM,W,,Wayne Gretzky,32,Tony Granato,Darryl Sydor,Bill Ranford,1,2:12,EV,,Great Western Forum
140,1993-03-02,LAK,,CGY,W,,Wayne Gretzky,32,Tim Watters,,Jeff Reese,1,12:08,EV,,Great Western Forum
141,1993-03-02,LAK,,CGY,W,,Wayne Gretzky,32,,,Jeff Reese,2,7:01,SH,,Great Western Forum
142,1993-02-22,LAK,@,TBL,W,,Wayne Gretzky,32,Luc Robitaille,Charlie Huddy,Wendell Young,2,6:03,EV,,Expo Hall
143,1993-02-17,LAK,@,MNS,W,,Wayne Gretzky,32,Mike Donnelly,Tony Granato,Darcy Wakaluk,1,11:51,EV,,Metropolitan Sports Center
144,1993-01-08,LAK,@,WIN,L,,Wayne Gretzky,31,Luc Robitaille,Tony Granato,Bob Essensa,1,15:32,EV,,Winnipeg Arena
145,1993-01-08,LAK,@,WIN,L,,Wayne Gretzky,31,Paul Coffey,Dave Taylor,Bob Essensa,2,6:12,EV,,Winnipeg Arena
146,1992-03-26,LAK,@,CGY,L,,Wayne Gretzky,31,Tony Granato,Tim Watters,Jeff Reese,1,9:04,EV,,Olympic Saddledome
147,1992-03-21,LAK,,CGY,W,,Wayne Gretzky,31,Marty McSorley,Tim Watters,,3,19:06,EV,EN,Great Western Forum
148,1992-03-21,LAK,,CGY,W,,Wayne Gretzky,31,Jari Kurri,,Mike Vernon,1,1:11,PP,,Great Western Forum
