r0_1,r1_1,r2_1,r3_1,r6_1,r7_1,x_1,y_1,totalR_1,r0_2,r1_2,r2_2,r3_2,r6_2,r7_2,x_2,y_2,totalR_2,centre_x,centre_y,totalM
3.0972743,0.0,1.529262,0.0,2.0720394,0.0,0.67,20.67,6.698576,2.2840903,0.0,1.1966684,0.0,Infinity,0.0,1.25,20.0,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5332649,0.0,2.0720394,0.0,0.67,20.65,6.7025785,2.2840903,0.0,1.2004008,0.0,Infinity,0.0,1.25,19.98,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.541404,0.0,2.0720394,0.0,0.65,20.67,6.710718,2.3322039,0.0,1.2080054,0.0,Infinity,0.0,1.25,19.99,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5582398,0.0,2.0924668,0.0,0.66,20.63,6.747981,2.2840903,0.0,1.2118795,0.0,Infinity,0.0,1.26,19.94,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5582398,0.0,2.0720394,0.0,0.66,20.64,6.7275534,2.2840903,0.0,1.2238022,0.0,Infinity,0.0,1.27,19.91,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5669518,0.0,2.0720394,0.0,0.65,20.66,6.736265,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.87,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5850056,0.0,2.0720394,0.0,0.64,20.65,6.754319,2.2840903,0.0,1.2404438,0.0,Infinity,0.0,1.28,19.87,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5804106,0.0,2.0924668,0.0,0.65,20.65,6.7701516,2.2840903,0.0,1.2491068,0.0,Infinity,0.0,1.29,19.85,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.5850056,0.0,2.0720394,0.0,0.64,20.64,6.754319,2.2397988,0.0,1.2491068,0.0,Infinity,0.0,1.29,19.83,Infinity,NaN,NaN,Infinity
3.0267572,0.0,1.5991333,0.0,2.0720394,0.0,0.64,20.61,6.6979303,2.2397988,0.0,1.2535287,0.0,Infinity,0.0,1.29,19.82,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.603961,0.0,2.0924668,0.0,0.63,20.63,6.793702,2.2397988,0.0,1.2580125,0.0,Infinity,0.0,1.3,19.8,Infinity,NaN,NaN,Infinity
3.0972743,0.0,1.6088501,0.0,2.0720394,0.0,0.62,20.65,6.778164,2.2397988,0.0,1.2814217,0.0,Infinity,0.0,1.32,19.73,Infinity,NaN,NaN,Infinity
3.1733844,0.0,1.6188182,0.0,2.0720394,0.0,0.61,20.66,6.8642416,2.2397988,0.0,1.2671733,0.0,Infinity,0.0,1.31,19.77,Infinity,NaN,NaN,Infinity
3.1733844,0.0,1.6290492,0.0,2.0720394,0.0,0.6,20.66,6.8744726,2.2397988,0.0,1.2718536,0.0,Infinity,0.0,1.32,19.73,Infinity,NaN,NaN,Infinity
3.1733844,0.0,1.6395558,0.0,2.0720394,0.0,0.6,20.66,6.8849792,2.2397988,0.0,1.2718536,0.0,Infinity,0.0,1.31,19.77,Infinity,NaN,NaN,Infinity
3.1733844,0.0,1.6449165,0.0,2.0720394,0.0,0.58,20.69,6.890341,2.2397988,0.0,1.2766023,0.0,Infinity,0.0,1.31,19.74,Infinity,NaN,NaN,Infinity
3.2558806,0.0,1.6558615,0.0,2.0720394,0.0,0.57,20.7,6.983782,2.2397988,0.0,1.2766023,0.0,0.39433616,0.0,-1.84,23.79,3.9107373,NaN,NaN,10.894519
3.1733844,0.0,1.6614496,0.0,2.0720394,0.0,0.58,20.68,6.9068737,2.2397988,0.0,1.2963214,0.0,0.39093605,0.0,-1.84,23.8,3.9270563,NaN,NaN,10.83393
3.1733844,0.0,1.7155814,0.0,2.0720394,0.0,0.54,20.67,6.961005,2.2397988,0.0,1.3014418,0.0,0.39433616,0.0,-1.84,23.79,3.935577,1.2793653,8.887276,10.896582
3.3457246,0.0,1.6728663,0.0,2.0720394,0.0,0.54,20.76,7.0906305,2.2397988,0.0,1.3119265,0.0,0.4296632,0.0,-1.81,23.75,3.9813886,1.2793653,8.887276,11.07202
3.2558806,0.0,1.6846181,0.0,2.0720394,0.0,0.55,20.69,7.012538,2.2840903,0.0,1.3172952,0.0,0.44162753,0.0,-1.8,23.74,4.043013,1.245237,8.79961,11.055552
3.2558806,0.0,1.690625,0.0,2.0524309,0.0,0.53,20.72,6.9989367,2.2397988,0.0,1.3227513,0.0,0.44162753,0.0,-1.8,23.74,4.0041776,1.2502692,8.883459,11.003115
3.2558806,0.0,1.696722,0.0,2.0720394,0.0,0.53,20.73,7.024642,2.1988266,0.0,1.3282974,0.0,0.45030418,0.0,-1.79,23.72,3.9774282,1.2502692,8.883459,11.00207
3.2558806,0.0,1.7029123,0.0,2.0524309,0.0,0.52,20.73,7.011224,2.1988266,0.0,1.3339361,0.0,0.46442053,0.0,-1.77,23.7,3.997183,1.2375493,8.915574,11.008407
3.2558806,0.0,1.7091978,0.0,2.0335853,0.0,0.51,20.74,6.998664,2.1607604,0.0,1.3282974,0.0,0.47529346,0.0,-1.76,23.68,3.9643512,1.2375493,8.915574,10.963015
3.2558806,0.0,1.7091978,0.0,2.0335853,0.0,0.5,20.75,6.998664,2.1607604,0.0,1.3636184,0.0,0.48056155,0.0,-1.76,23.68,4.0049405,1.211814,8.9332,11.003605
3.1733844,0.0,1.7091978,0.0,2.0154514,0.0,0.5,20.72,6.8980336,2.1607604,0.0,1.3455025,0.0,0.54882956,0.0,-1.66,23.54,4.0550923,1.2141076,9.021785,10.953126
3.1733844,0.0,1.7220657,0.0,2.0335853,0.0,0.5,20.71,6.929035,2.1252563,0.0,1.3514358,0.0,0.50609314,0.0,-1.72,23.62,3.9827852,1.2141076,9.021785,10.91182
3.2558806,0.0,1.7220657,0.0,2.0154514,0.0,0.48,20.76,6.9933977,2.1252563,0.0,1.3514358,0.0,0.5184757,0.0,-1.71,23.6,3.995168,1.2030343,9.053147,10.988565
3.2558806,0.0,1.7286534,0.0,2.0154514,0.0,0.48,20.74,6.9999857,2.1252563,0.0,1.3574734,0.0,0.52084637,0.0,-1.7,23.59,4.0035763,1.2030343,9.053147,11.003562
